,index,ID,inchikey,sdftitle,order,set,CVfold,NR.AhR,NR.AR,NR.AR.LBD,NR.Aromatase,NR.ER,NR.ER.LBD,NR.PPAR.gamma,SR.ARE,SR.ATAD5,SR.HSE,SR.MMP,SR.p53,smiles
0,0,NCGC00178831-03,PEJLNXHANOHNSU-UHFFFAOYSA-N,NCGC00178831-03,0,training,4.0,,,,,,,,,,0.0,,,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-]
1,1,NCGC00166114-03,SEACYXSIPDVVMV-UHFFFAOYSA-L,NCGC00166114-03,1,training,,,,,,,,,,,0.0,,,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+]
2,2,NCGC00263563-01,WQGJEAMPBSZCIF-VEKNOCPUSA-N,NCGC00263563-01,2,training,4.0,,,,,,,,,,0.0,,,CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)[O-])O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4OC4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C.[NH4+]
3,3,NCGC00013058-02,CNYGFPPAGUCRIC-UHFFFAOYSA-L,NCGC00013058-02,3,training,,,,,,,,,,,1.0,,,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O
4,4,NCGC00167516-01,LYCYLGFSIXIXAB-NUZRHMIVSA-N,NCGC00167516-01,4,training,,,0.0,,,,,,,,,,,CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1
5,5,NCGC00018301-05,BFCDFTHTSVTWOG-UHFFFAOYSA-N,NCGC00018301-05,5,training,,,,,,,,,,,1.0,,,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
6,6,NCGC00249897-01,UEHLXXJAWYWUGI-UHFFFAOYSA-M,NCGC00249897-01,6,training,,,,,,,,,,,1.0,,,Cc1ccc([N+](=O)[O-])c2c1O[Hg]2
7,7,NCGC00016000-18,AUZONCFQVSMFAP-UHFFFAOYSA-N,NCGC00016000-18,7,training,,,,,,,,,,,1.0,,,CCN(CC)C(=S)SSC(=S)N(CC)CC
8,8,NCGC00181091-01,PBYJDHRFPFHVKZ-UHFFFAOYSA-N,NCGC00181091-01,8,training,,,0.0,,,,,,,,,,,CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12.Cl
9,9,NCGC00094089-01,MTJLQTFHJIHXIX-GDUXWEAWSA-N,NCGC00094089-01,9,training,,,0.0,,,,,,,,,,,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl
10,10,NCGC00094996-01,BRJJFBHTDVWTCJ-UHFFFAOYSA-N,NCGC00094996-01,10,training,,,0.0,,,,,,,,,,,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl
11,11,NCGC00263579-01,JWEXHQAEWHKGCW-BIISKSHESA-N,NCGC00263579-01,11,training,,,,,,,,,,,0.0,,,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1
